head,noise_mean_acc,noise_std_acc,noise_contrib,zero_acc,zero_contrib
10,0.6357894539833069,0.009415035136044025,0.00631580917458785,0.6,0.04210526315789476
2,0.642105221748352,0.010526329278945923,4.1409542683723544e-08,0.6105263157894737,0.03157894736842104
3,0.6357895135879517,0.005765524227172136,0.006315749569943074,0.631578947368421,0.010526315789473717
1,0.6357895135879517,0.005765524227172136,0.006315749569943074,0.631578947368421,0.010526315789473717
7,0.6315789222717285,0.0,0.010526340886166219,0.631578947368421,0.010526315789473717
0,0.6294736862182617,0.008806955069303513,0.012631576939633016,0.6421052631578947,0.0
8,0.6336842179298401,0.004707531072199345,0.008421045228054647,0.6421052631578947,0.0
9,0.6315789222717285,0.0,0.010526340886166219,0.6421052631578947,0.0
11,0.6357895135879517,0.005765524227172136,0.006315749569943074,0.6421052631578947,0.0
4,0.6378947496414185,0.024233391508460045,0.0042105135164762775,0.6526315789473685,-0.010526315789473717
5,0.6315789222717285,0.0,0.010526340886166219,0.6526315789473685,-0.010526315789473717
6,0.64000004529953,0.004707531072199345,0.002105217858364705,0.6631578947368421,-0.021052631578947323
